KPI,lag_t,beta_2,t_value,p_value,adj_r2
1人当たり年間研修時間,0,0.0008639800432714883,0.4156636333247953,0.6828557682162927,-0.09989954092017994
1人当たり年間研修時間,1,-0.00041956855632841123,-0.18751269534426546,0.8536159780607605,-0.11505606127276247
1人当たり年間研修時間,2,0.0014965883836693312,0.7281414432022648,0.47774082202721657,-0.09456790593287856
1人当たり年間研修時間,3,-0.002772137047762107,-1.2890684745875556,0.21826709605766273,-0.02133715238656131
1人当たり年間研修時間,4,0.0007045945527111184,0.3713810503028021,0.7163361395289041,-0.055491158895142334
1人当たり年間研修時間,5,0.002121789200114475,1.1322969338308893,0.27962833176150464,0.01775171523602137
1人当たり年間研修時間,6,-0.0010346152646703007,-0.4245754674071286,0.6793315249300913,-0.12026831367558444
1人当たり年間研修時間,7,0.0004926943773575174,0.1998934440447995,0.8455703151194249,-0.15295088899227993
1人当たり年間研修時間,8,0.001184527091990211,0.4970049967545531,0.6310996965551652,-0.16572189510645607
1人当たり年間研修時間,9,-0.0015252509250000667,-0.5952846969445373,0.5681061097898775,-0.16863374150494925
1人当たり年間研修時間,10,0.003529495269008735,1.5580006904321742,0.163192654868626,0.07879353119095645
1人当たり年間研修時間,11,-0.00746237541197612,-2.430727006455291,0.051111886110848354,0.3620897694615114
1人当たり年間研修時間,12,0.002006045499262945,0.5942938311018384,0.5781836254302324,-0.1851240123285265
1人当たり年間研修時間,13,-0.00801712056552779,-4.259748575247711,0.013056218397634696,0.7555692680800155
1人当たり年間研修時間,14,0.005373783203057914,1.6535038015042878,0.19679993409717741,0.12860526543593287
1人当たり年間研修時間,15,-0.00036721935099953896,-0.2203040788812073,0.8460779064135124,-0.12251514351600967
CO₂排出量,0,0.02593842628017906,0.23314597686616442,0.8248919931526351,-0.3849155392293153
CO₂排出量,1,-0.12331098780697229,-1.451563408127394,0.1968244803095418,0.01322416782085778
CO₂排出量,2,0.039694681606973425,0.48210514691083156,0.6444400576447762,-0.24432799730227872
CO₂排出量,3,-0.14204900763382416,-2.2892711474988805,0.05132320915748378,0.2447625805442818
CO₂排出量,4,0.022282978212262328,0.3165581161323347,0.7587980739535316,-0.20875507274437788
CO₂排出量,5,-0.12963842179229157,-1.5621157249420878,0.14932426902522522,0.03645799032458641
CO₂排出量,6,0.03964905720390188,0.5636914549836222,0.5842727225373514,-0.12542588637514052
CO₂排出量,7,-0.031368181014104615,-0.3992359494261202,0.6967332107181624,-0.15091448237913818
CO₂排出量,8,0.022989033099826972,0.27788946305425016,0.7854676469917122,-0.14648535538272744
CO₂排出量,9,-0.015507749243749596,-0.26231146859401555,0.7969016679289744,-0.12928500289200673
CO₂排出量,10,-0.005515078595045506,-0.09549958847971267,0.925182173239275,-0.12436407542697814
CO₂排出量,11,-0.06923398225883873,-1.3949045155676913,0.18210886403951987,0.0038753916148236423
CO₂排出量,12,0.21676082081459896,21.23489958575294,1.1216573797405829e-13,0.9596335058306821
CO₂排出量,13,-0.04772387636909041,-0.9223836637971631,0.3700291416475471,-0.06108388724279723
CO₂排出量,14,0.08347207730083533,1.612369994057574,0.12771796740893615,0.03414195866250824
CO₂排出量,15,-0.022473322200547943,-0.4634962112713193,0.6501324557269512,-0.12529484906454913
CO₂排出量,16,0.011444857595801827,0.2747931462887478,0.7877937876717211,-0.06052927618398285
CO₂排出量,17,-0.018891625279490676,-0.4184189706445396,0.6830317507878106,-0.07155947373802674
CO₂排出量,18,0.008680679838304454,0.14845060887995015,0.8846735666957555,-0.1363503136340214
CO₂排出量,19,-0.011011382111284692,-0.18251973925486328,0.8588219804635555,-0.15371435854426507
CO₂排出量,20,0.021740947757609513,0.32150048164893047,0.7551721709291026,-0.18411703090593656
ESG連動型役員報酬比率,0,0.0006640864929170799,0.7355738035759883,0.47201766063073924,-0.07680603238342343
ESG連動型役員報酬比率,1,0.0016065887416687283,1.7803032189639207,0.09402142547163468,0.06726192379333207
ESG連動型役員報酬比率,2,0.0004501913788023625,0.4952964887533204,0.6275678011030421,-0.11502080983496854
ESG連動型役員報酬比率,3,-0.0009303302993045128,-0.9061873614967414,0.3801688319652713,-0.0792580873365818
ESG連動型役員報酬比率,4,-2.3460031180343784e-05,-0.024919056301697898,0.9804979792683156,-0.06663847440004589
ESG連動型役員報酬比率,5,-0.00011802448769074274,-0.10386388895376845,0.9189930646913627,-0.08621654733066997
ESG連動型役員報酬比率,6,-0.0008373363084664711,-0.8303323371411596,0.42400597353080727,-0.0714699106118637
ESG連動型役員報酬比率,7,5.864223176937816e-05,0.05170673199832454,0.95978066733445,-0.15724837938393255
ESG連動型役員報酬比率,8,-0.0007061593405071043,-0.5165747651796305,0.6179055534718163,-0.16322668878865532
ESG連動型役員報酬比率,9,-0.002103189961663807,-1.9999878666351765,0.08051775144048368,0.18639741711613345
