年度,1人当たり年間研修時間,CO₂排出量,ESG連動型役員報酬比率,ISO14001認証取得比率,PBR,ROE,エネルギー消費強度（売上高あたり）,グリーン調達率（環境配慮部品調達比率）,コンプライアンス研修受講率,コード・オブ・コンダクト研修受講率,サイバーセキュリティ訓練受講率,サプライチェーン排出量,サプライヤーCSR監査実施率,サプライヤー労働安全監査件数,ダイバーシティ比率（外国籍社員）,ダイバーシティ研修受講率,データ漏えいインシデント件数,ハラスメント相談件数,バイオマス燃料使用量,ボランティア延べ時間,メンタルヘルス研修受講率,リスク管理委員会開催回数（年間）,ワークライフバランス満足度,健康診断受診率,内部監査実施率（計画比）,内部統制監査件数,内部通報受信件数,内部通報対応完了率,再生可能エネルギー使用率,冷媒使用量,労働時間遵守率,労働災害発生件数（休業含む）,化学物質排出量（PRTR対象物質）,化石燃料使用量,危機管理訓練実施回数（年間）,反贈賄研修受講率,取締役会自己評価実施率,取締役会議出席率,取締役報酬総額,地域社会支援投資額,女性比率（従業員全体）,女性管理職比率,安全衛生研修受講率,平均勤続年数,廃プラスチック使用量削減率,廃棄物リサイクル率,廃棄物排出量（一般＋産業）,従業員幸福度スコア,従業員数（連結）,排出権取得量,新卒3年定着率,有害廃棄物排出量,株主総会出席率,株主議決権行使率,森林保全活動面積,水使用強度（売上高あたり）,水使用量（総量）,温水・蒸気消費量,独立社外取締役比率,環境イノベーション投資額,環境マテリアリティ重要課題達成度,環境リスク評価実施率,環境教育受講率,環境監査実施率,環境関連投資額,環境関連罰金・制裁額,生物多様性保全プロジェクト件数,男女別平均給与比率（女性/男性）,男性育児休業取得率,監査役会議出席率,省エネ設備投資額,研究開発費,社会貢献活動参加者数,社員1人当たり社会貢献支出額,社員エンゲージメントスコア,社員離職率（年間）,税務デューデリジェンス実施率,育児休業取得率（女性）,障がい者雇用率,電力消費量（総量）,高齢者雇用率（65歳以上）
1989,,30989.194611029307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5907492779055,,,,,,,,,
1990,,78561.27307561062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.50484423660725,,,,,,,,,
1991,,52659.9775850711,,,,,,,,,,,,,,,,,,,,,,99.2325202731237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.97141322346985,,,,,,,2.0672116418126834,,
1992,,10187.584224426522,,,,,,,,,,,,,,,,,,,,,,100.05419865344915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.81901428935937,,,,,,,1.738417518575735,,
1993,,45198.9364186709,,,,,,,73.01098540624002,,,,,,,,,,,,,,,99.71414816335977,,,,,5.883235927837074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.38837288807994,,,,,,90.4671190571305,2.2506687082121717,,
1994,,28286.956398253238,,,,,,,177.91576419644753,,,,,,,,,,,,,,,99.05190247126413,,,,,65.35672610826343,,,,,,,,,,,,,22.49157912699138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.1988278363261,,,,,,179.90709356484916,1.6130676895808747,,
1995,,32824.60271270622,,,,,,,113.49605036783335,,,,,,,,,,,,,,,99.81554544820239,,,,,36.8612090493455,,,,,,,,,,,,,93.54836648987556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.7735066757925,,,,,,128.96151693641175,1.5212465558120616,,
1996,,40251.751971234975,,,,,,,31.237147163499735,,,,,,,,,,,,,,,99.17385680251721,,,,,3.982299309810658,,93.6147957573942,,,,,,,,,,45.653419071860924,28.58984820731446,,,,,,,,,75.5986668722407,,,,,,,,,,,,,,,,,,,,,157.52815466223052,,,,,,36.586619373918914,1.7130031086121589,,
1997,,30392.973978855167,,,,,,,101.10305425773343,,,,,,,,,,,,,,,99.4702602674025,,,,,25.6063263097859,,114.58550273412614,,,,,,,,,,97.09162675887947,2.096612346210461,,22.586216218652062,,,,,,,112.48200394302218,,,,,,,,,,,,,,,,,,,,,155.96121520283688,,,,,,112.75280383676575,2.108289758639544,,
1998,,22026.822712491274,,,,,,,85.39589815751752,,,,,,,,,,,,,,,99.28410002682789,,,,,18.059948830633484,,105.44161477640321,,,,,,,,,,65.00512416115549,10.517776547419068,,16.608714035343535,,,,,,,97.08207349352406,,,,,,,,,,,,,,,,,,,,,135.10002083823915,,,,,,87.72924563772357,1.3826217782875159,,
1999,,29342.892627026435,,,,,,,79.12596994251493,,,,,,,,,,,,,,,99.39243223595487,,,,,15.355495292849682,,77.50174444103808,,,,,,,,,,18.72086420876714,26.584097601601282,,19.987560934944966,,,,,,,44.61256990187975,,,,,,,,,,,,,,,,,,,,,145.282491388388,,,,,,89.44879397894988,2.254481599345304,,
2000,,20929.28351627989,,,,,,,80.96475875100461,,,,,,,,,,,,,,,99.08489950554726,,,,,22.550662612754074,,103.10643654291611,,,,,,,,,,52.19722573783341,44.48321772600197,,12.266699546624267,,,,,,,94.74991836405106,,,,,,,,,,,,,,,,,,,,,151.70684826545988,,,,,,98.01765159107221,2.6232082632054823,,
